target,category,shape,kernel,config,pass_count,median_of_medians_ms,min_median_ms,max_median_ms,pass_medians_ms
square128,square,128x128x128,best_custom,sg_m16n16k8_t8x16,3,0.239729,0.239000,0.263188,0.263188;0.239729;0.239000
square128,square,128x128x128,mps,,3,0.225791,0.225000,0.239979,0.239979;0.225791;0.225000
square256,square,256x256x256,best_custom,sg_m16n16k8_t32x4,3,0.425125,0.422000,0.446083,0.422000;0.446083;0.425125
square256,square,256x256x256,mps,,3,0.384709,0.334770,0.591083,0.384709;0.334770;0.591083
medium_rect,medium_rect,192x320x96,best_custom,sg_m16n16k8_t16x8,3,0.440729,0.310083,0.519334,0.310083;0.519334;0.440729
medium_rect,medium_rect,192x320x96,mps,,3,0.257854,0.254916,0.273126,0.273126;0.254916;0.257854
edge_square,edge_heavy,130x130x130,best_custom,sg_m16n16k8_t8x16,3,0.245146,0.239854,0.259916,0.239854;0.259916;0.245146
edge_square,edge_heavy,130x130x130,mps,,3,0.268541,0.259750,0.309167,0.268541;0.259750;0.309167
edge_rect,irregular,255x257x129,best_custom,sg_m16n16k8_t16x8,3,0.445188,0.348291,1.018104,0.348291;1.018104;0.445188
edge_rect,irregular,255x257x129,mps,,3,0.314584,0.310396,0.327958,0.327958;0.314584;0.310396